host_response_rate,host_acceptance_rate,latitude,longitude,bedrooms,beds,minimum_nights,accommodates,price,review_scores_rating,number_of_reviews
100,100,49.2499,-123.12433,1,1,2,2,79,97,66
NA,NA,49.27735,-123.0925,1,2,7,2,48,93,15
100,94,49.25459,-123.04589,1,2,3,2,72,95,151
100,91,49.281,-123.12565,1,1,31,2,53,99,14
NA,NA,49.2694,-123.03996,1,1,30,1,80,100,1
93,36,49.27974,-123.13576,1,1,30,2,71,90,4
100,97,49.25489,-123.18217,1,3,1,4,78,95,43
100,92,49.27913,-123.1187,1,1,30,2,79,97,8
100,68,49.25826,-123.07133,1,1,30,1,40,100,13
100,60,49.277589999999996,-123.08576,1,1,3,2,75,100,98
100,91,49.22791,-123.03074,1,2,1,3,37,89,58
100,100,49.26172,-123.13058,1,1,2,2,82,96,107
100,91,49.22818,-123.03276,1,1,1,2,25,95,118
100,94,49.22451,-123.0597,1,3,1,4,65,95,108
NA,NA,49.23094,-123.13746,1,2,30,2,60,84,52
NA,90,49.28021,-123.12512,1,3,80,4,80,95,209
NA,NA,49.25229,-123.0525,1,1,3,1,30,93,20
NA,NA,49.25162,-123.05272,1,1,3,1,30,95,14
100,NA,49.26604,-123.16952,1,1,2,1,80,91,64
NA,100,49.28572,-123.13395,1,1,30,2,65,95,69
NA,NA,49.21007,-123.12755,1,1,1,3,74,97,141
100,0,49.2331,-123.09868,1,1,1,2,79,98,133
18,71,49.26388,-123.17844,1,1,1,2,75,99,18
NA,NA,49.27173,-123.06634,1,1,30,3,75,100,1
NA,NA,49.26895,-123.1083,1,1,3,2,81,93,27
100,99,49.23871,-123.1462,1,2,1,3,77,99,157
NA,100,49.28642,-123.1341,1,1,30,2,60,94,54
NA,NA,49.2336,-123.10971,1,1,2,1,37,93,8
NA,NA,49.2791,-123.11773,1,1,30,2,60,98,47
NA,NA,49.23498,-123.09053,1,0,1,2,40,100,2
NA,NA,49.23386,-123.08794,2,3,1,5,60,88,8
100,100,49.27079,-123.10741,1,0,7,2,55,91,69
NA,NA,49.23793,-123.04932,1,1,1,2,19,88,45
100,67,49.25011,-123.12779,1,2,1,3,75,92,14
100,100,49.25368,-123.18443,1,1,2,2,65,97,42
NA,NA,49.26339,-123.07575,2,2,1,3,50,95,83
100,100,49.25533,-123.18469,1,1,2,3,82,95,40
NA,60,49.22935,-123.06526,1,1,6,2,57,95,122
95,99,49.27097,-123.18327,1,1,3,2,60,97,116
NA,NA,49.25614,-123.07643,1,1,1,1,50,100,2
NA,NA,49.21368,-123.07826,1,1,14,2,46,96,33
100,91,49.2125,-123.12961,1,1,3,2,71,89,19
100,78,49.2639,-123.07697,2,2,1,6,62,90,46
NA,NA,49.2575,-123.0569,1,1,4,3,78,100,4
100,100,49.27343,-123.03806,1,2,2,4,65,95,76
NA,NA,49.28201,-123.05644,1,1,4,2,65,100,2
80,75,49.29005,-123.0551,1,1,3,2,55,97,69
NA,NA,49.23995,-123.0494,1,2,1,2,23,90,49
100,97,49.25898,-123.06895,1,1,2,2,84,99,185
20,40,49.22971,-123.112,1,1,30,1,49,100,74
NA,NA,49.28607,-123.13694,1,1,2,2,36,89,60
100,96,49.2506,-123.07084,1,1,2,3,81,98,141
NA,NA,49.21307,-123.13501,1,1,2,2,65,97,35
100,100,49.25482,-123.18468,1,1,2,2,65,97,41
98,88,49.2637,-123.03999,1,1,1,2,49,93,65
100,100,49.25542,-123.18477,1,1,2,2,66,96,11
70,66,49.2795,-123.12098,1,1,30,2,45,96,114
94,98,49.28057,-123.13068,1,1,30,1,37,92,5
100,100,49.2272,-123.11212,1,1,30,1,39,90,10
98,88,49.2637,-123.03999,1,1,1,2,49,88,60
100,94,49.26239,-123.07531,3,3,2,5,50,98,131
98,88,49.2637,-123.03999,1,1,1,2,44,91,42
100,100,49.23704,-123.07973,1,1,21,2,72,98,32
NA,NA,49.24944,-123.11123,1,1,1,2,70,93,15
20,40,49.23111,-123.11183,1,1,30,1,45,100,94
NA,NA,49.21455,-123.09757,1,0,7,1,40,96,18
100,67,49.25011,-123.12779,1,2,1,2,75,95,8
100,67,49.25011,-123.12779,1,2,1,3,75,93,9
100,67,49.25011,-123.12779,1,2,1,3,75,80,3
100,67,49.25011,-123.12779,1,2,1,3,75,95,8
100,67,49.25011,-123.12779,1,2,1,3,75,90,14
100,67,49.25011,-123.12779,1,2,1,3,75,85,17
100,67,49.25011,-123.12779,1,2,1,3,75,98,10
100,67,49.25011,-123.12779,1,2,1,3,75,85,8
100,67,49.25011,-123.12779,1,2,1,3,75,88,16
100,67,49.25011,-123.12779,1,2,1,3,75,80,3
100,67,49.25011,-123.12779,1,1,1,2,75,93,6
100,67,49.25011,-123.12779,1,2,1,3,75,90,6
100,67,49.25011,-123.12779,1,2,1,2,75,89,7
100,67,49.25011,-123.12779,1,2,1,3,75,95,4
100,67,49.25011,-123.12779,1,2,1,3,75,75,8
100,67,49.25011,-123.12779,1,2,1,3,75,93,15
NA,NA,49.27107,-123.10218,1,2,2,4,80,99,52
80,53,49.24087,-123.16899,1,1,120,1,30,100,1
NA,NA,49.28378,-123.1073,1,1,1,1,75,98,17
100,83,49.21243,-123.11132,1,1,20,1,54,99,57
67,75,49.23426,-123.10274,1,1,30,2,45,100,4
NA,NA,49.28887,-123.13784,1,1,3,1,76,97,7
20,40,49.23143,-123.11352,1,1,30,1,45,99,83
NA,NA,49.23244,-123.10406,1,1,5,1,30,90,4
100,89,49.23564,-123.11403,1,1,7,1,68,99,29
67,25,49.2193,-123.08204,3,4,10,8,70,96,11
100,100,49.25364,-123.08397,1,1,1,2,79,98,71
100,96,49.23739,-123.04725,1,1,30,2,40,98,9
NA,NA,49.21315,-123.11638,1,1,3,1,59,100,10
100,97,49.24938,-123.09775,1,1,2,2,64,97,96
NA,NA,49.23439,-123.15595,1,3,30,1,78,100,1
NA,NA,49.23992,-123.04796,1,1,1,2,23,80,18
100,100,49.28024,-123.123,1,1,30,4,80,100,11
93,36,49.29041,-123.12514,1,1,31,2,83,100,1
90,38,49.28233,-123.11675,1,1,30,1,35,100,1
100,50,49.21219,-123.11335,1,1,30,2,35,90,2
100,50,49.21415,-123.11351,1,1,30,2,45,100,1
100,50,49.21356,-123.11131,1,1,30,2,37,100,1
100,50,49.21206,-123.112,1,1,30,2,37,97,7
70,66,49.2796,-123.12021,1,1,30,2,38,95,132
100,100,49.2294,-123.20236,2,2,30,4,79,97,75
96,98,49.28825,-123.04841,1,2,1,2,68,94,53
NA,0,49.23821,-123.06521,1,1,2,2,80,96,11
NA,NA,49.25825,-123.13187,1,1,3,2,75,98,37
NA,NA,49.24282,-123.05933,1,1,30,1,44,100,1
100,86,49.24164,-123.0568,1,1,30,1,70,97,6
93,30,49.28704,-123.1321,1,1,30,2,65,88,12
73,100,49.27987,-123.12306,1,1,30,3,72,100,1
100,72,49.28301,-123.09135,1,1,3,2,70,93,18
100,100,49.25564,-123.11139,3,3,1,5,83,95,160
NA,NA,49.2631,-123.08112,1,1,1,2,68,100,1
100,95,49.22664,-123.03522,2,2,2,4,75,98,63
NA,NA,49.28718,-123.13794,1,1,1,2,50,98,27
100,89,49.26592,-123.06811,1,2,30,2,75,100,5
NA,NA,49.26181,-123.14399,1,1,3,2,78,87,18
100,0,49.23509,-123.1018,1,1,30,2,55,100,3
100,100,49.27744,-123.05046,1,1,30,2,52,100,2
94,98,49.28192,-123.12952,1,1,27,2,40,93,12
NA,NA,49.22476,-123.12215,1,2,1,3,80,100,3
100,100,49.23848,-123.17721,1,1,1,1,79,100,29
100,20,49.28153,-123.12302,1,1,30,2,75,100,4
100,97,49.24117,-123.02709,1,2,2,2,75,98,26
93,36,49.28892,-123.12778,1,1,30,2,83,87,3
100,95,49.24687,-123.16086,1,0,2,2,40,96,38
75,NA,49.24089,-123.05802,1,2,50,4,78,100,3
NA,NA,49.26755,-123.06032,1,1,1,1,50,93,33
100,0,49.23503,-123.1032,1,2,30,2,55,100,1
100,97,49.24897,-123.09944,1,1,2,2,77,100,17
NA,100,49.25794,-123.18397,1,1,2,2,80,94,7
90,50,49.2446,-123.10387,1,1,30,1,30,97,6
92,75,49.23933,-123.08915,1,1,30,1,33,93,3
NA,100,49.28026,-123.02392999999999,1,1,2,2,75,92,32
100,98,49.27098,-123.16447,1,1,2,2,75,97,144
NA,96,49.2649,-123.16024,1,1,1,2,45,100,11
100,50,49.24842,-123.11655,1,1,30,2,34,100,2
NA,100,49.25718,-123.19107,1,1,1,2,72,83,23
NA,100,49.25591,-123.19259,1,1,1,2,79,87,20
NA,NA,49.2689,-123.15981,1,1,2,2,70,99,58
100,100,49.28549,-123.05401,1,1,30,1,45,100,2
100,100,49.21107,-123.13433,2,1,15,3,49,91,31
100,98,49.22962,-123.08003,1,1,2,2,52,100,43
NA,NA,49.25527,-123.10392,1,1,4,2,75,98,9
7,66,49.2392,-123.04068,1,1,30,1,35,97,6
NA,NA,49.25558,-123.08802,1,1,1,2,60,86,52
NA,NA,49.25206,-123.05795,1,1,2,2,45,100,2
NA,NA,49.24507,-123.06637,1,1,30,3,55,88,69
100,98,49.22962,-123.0798,1,1,2,2,50,99,23
100,100,49.25659,-123.12948,1,1,3,1,79,99,18
100,80,49.27811,-123.11948,1,1,30,1,78,100,2
7,66,49.24109,-123.03921,1,1,7,1,35,96,99
NA,50,49.26069,-123.15356,1,1,7,1,34,100,2
NA,NA,49.23677,-123.09062,1,2,1,3,38,84,11
100,97,49.26358,-123.06453,1,1,2,2,45,98,96
100,100,49.25194,-123.18313,1,1,1,2,79,98,35
100,91,49.2691,-123.1657,2,1,28,1,60,100,7
100,91,49.28856,-123.05991,1,1,3,3,52,100,43
100,NA,49.22895,-123.04251,1,1,2,1,45,93,20
92,75,49.24149,-123.08796,1,1,30,1,31,70,4
NA,100,49.29043,-123.13367,1,1,30,2,49,100,3
100,92,49.22457,-123.11687,1,1,30,2,59,86,22
100,91,49.27133,-123.16427,2,2,5,2,60,90,2
100,92,49.22392,-123.11885,1,1,30,2,29,91,17
NA,NA,49.26665,-123.06027,1,1,1,1,50,93,16
100,88,49.22038,-123.10205,2,2,30,4,75,88,8
NA,NA,49.21328,-123.11393,1,1,1,2,75,99,16
100,100,49.22366,-123.03587,2,2,1,5,60,89,24
100,100,49.24963,-123.11933,1,1,2,2,63,94,38
